Gene_Name,GO_ID,Organism,GO_Name
Autophagy-related protein,GO:0000423,NCBITaxon:3880,mitophagy
Cysteine protease ATG4B,GO:0000423,NCBITaxon:8355,mitophagy
Autophagy-related protein 13,GO:0000423,NCBITaxon:8090,mitophagy
non-specific serine_threonine protein kinase,GO:0000423,NCBITaxon:8090,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:8090,mitophagy
Autophagy related 14,GO:0000423,NCBITaxon:8090,mitophagy
Serine_threonine-protein kinase ULK3,GO:0000423,NCBITaxon:8090,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3218,mitophagy
Microtubule-associated proteins 1A_1B light chain 3C,GO:0000423,NCBITaxon:8090,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:3880,mitophagy
RING-type domain-containing protein,GO:0000423,NCBITaxon:8090,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:214687,mitophagy
Sorting nexin-4,GO:0000423,NCBITaxon:284811,mitophagy
GABA type A receptor-associated protein,GO:0000423,NCBITaxon:8090,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:214687,mitophagy
GABA type A receptor associated protein like 2,GO:0000423,NCBITaxon:9796,mitophagy
Autophagy related 7,GO:0000423,NCBITaxon:8090,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:214687,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:15368,mitophagy
Probable E3 ubiquitin-protein ligase ARI8,GO:0000423,NCBITaxon:8090,mitophagy
Anaphase-promoting complex subunit 4 WD40 domain-containing protein,GO:0000423,NCBITaxon:4236,mitophagy
Autophagy-related protein 13 N-terminal domain-containing protein,GO:0000423,NCBITaxon:3218,mitophagy
Autophagy-related protein 3,GO:0000423,NCBITaxon:237631,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:10228,mitophagy
E3 ubiquitin-protein ligase parkin,GO:0000423,NCBITaxon:8090,mitophagy
Transducin_WD-like repeat-protein,GO:0000423,NCBITaxon:3880,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:6238,mitophagy
Autophagy-related protein 13,GO:0000423,NCBITaxon:10228,mitophagy
PX domain-containing protein,GO:0000423,NCBITaxon:10228,mitophagy
Serine_threonine-protein kinase ULK3,GO:0000423,NCBITaxon:10228,mitophagy
Sequestosome-1,GO:0000423,NCBITaxon:10228,mitophagy
Lgg-1,GO:0000423,NCBITaxon:54126,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:10228,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:10228,mitophagy
Transcription factor WD40-like family,GO:0000423,NCBITaxon:4232,mitophagy
Protein kinase domain containing protein,GO:0000423,NCBITaxon:294381,mitophagy
Protein kinase domain containing protein,GO:0000423,NCBITaxon:294381,mitophagy
Protein kinase domain containing protein,GO:0000423,NCBITaxon:294381,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:294381,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:294381,mitophagy
Autophagy_beclin-1 regulator 1a,GO:0000423,NCBITaxon:7918,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:412133,mitophagy
ZZ-type domain-containing protein,GO:0000423,NCBITaxon:214684,mitophagy
"Autophagy protein apg7, putative",GO:0000423,NCBITaxon:294381,mitophagy
Protein kinase domain containing protein,GO:0000423,NCBITaxon:294381,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:294381,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:294381,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:294381,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:294381,mitophagy
Protein kinase domain containing protein,GO:0000423,NCBITaxon:294381,mitophagy
Microtubule-associated proteins 1A_1B light chain 3C,GO:0000423,NCBITaxon:9544,mitophagy
Protein kinase domain-containing protein,GO:0000423,NCBITaxon:294381,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3880,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3659,mitophagy
Microtubule associated protein 1 light chain 3 alpha,GO:0000423,NCBITaxon:8090,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:9796,mitophagy
Beclin 2,GO:0000423,NCBITaxon:9544,mitophagy
Cysteine protease (Fragment),GO:0000423,NCBITaxon:5786,mitophagy
Serine_threonine-protein kinase,GO:0000423,NCBITaxon:9544,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:3880,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:9544,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:3659,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:9544,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:214687,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:4232,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3659,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:5888,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:4113,mitophagy
Autophagy-related protein 13,GO:0000423,NCBITaxon:214684,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:4113,mitophagy
ZZ-type domain-containing protein,GO:0000423,NCBITaxon:214684,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:4113,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:9544,mitophagy
RING-type domain-containing protein,GO:0000423,NCBITaxon:9544,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3659,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3711,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:294381,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:214684,mitophagy
Autophagy related 10,GO:0000423,NCBITaxon:9544,mitophagy
Sorting nexin family member 30,GO:0000423,NCBITaxon:7918,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:6945,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:10228,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:13333,mitophagy
Beclin 1-associated autophagy-related key regulator,GO:0000423,NCBITaxon:10228,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:10228,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:13616,mitophagy
PX domain-containing protein,GO:0000423,NCBITaxon:10228,mitophagy
non-specific serine_threonine protein kinase,GO:0000423,NCBITaxon:418459,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3218,mitophagy
Protein kinase domain-containing protein,GO:0000423,NCBITaxon:54126,mitophagy
Cysteine protease ATG4D,GO:0000423,NCBITaxon:8355,mitophagy
Os04g0497350 protein,GO:0000423,NCBITaxon:39947,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:7165,mitophagy
